start,end,text
2.021,3.567,Kana Study
24.113,24.803,ア
25.088,25.801,イ
26.539,27.252,ウ
27.490,28.108,エ
28.631,29.273,オ
24.113,24.803,あ
25.088,25.801,い
26.539,27.252,う
27.490,28.108,え
28.631,29.273,お
